wgs_id,its_id,sra,species,country,locale,patient,miracidum
Sb_NG_ak_1.1,Sb.ng.ak.1.1F,,sbovis,nigeria,ak,1,1
Sb_NG_ak_2.1,sb_ng_ak_2.1,,sbovis,nigeria,ak,2,1
Sb_NG_ak_2.2,Sb.ng.ak.2.2F,,sbovis,nigeria,ak,2,2
Sb_NG_ak_2.3,Sb.ng.ak.2.3F,,sbovis,nigeria,ak,2,3
Sb_NG_ak_3.1,Sb.ng.ak.3.1R,,sbovis,nigeria,ak,3,1
SRR11907458,sbo_uganda_apac13_35,SRR11907458,sbovis,uganda,apac13,na,na
Sb_NG_au_1.2,Sb_NG_au_1.2,,sbovis,nigeria,au,1,2
Sb_NG_au_1.1,Sb.ng.au.1.1F,,sbovis,nigeria,au,1,1
Sb_NG_au_2.2,sb_ng_au_2.2,,sbovis,nigeria,au,2,2
Sb_NG_au_2.11,sb_ng_au_2.11,,sbovis,nigeria,au,2,11
Sb_NG_au_2.12,sb_ng_au_2.12,,sbovis,nigeria,au,2,12
Sb_NG_au_2.13,Sb_NG_au_2.13,,sbovis,nigeria,au,2,13
Sb_NG_au_2.14,sb_ng_au_2.14,,sbovis,nigeria,au,2,14
Sb_NG_au_2.16,sb_ng_au_2.16,,sbovis,nigeria,au,2,16
Sb_NG_au_2.17,sb_ng_au_2.17,,sbovis,nigeria,au,2,17
Sb_NG_au_2.3,sb_ng_au_2.3,,sbovis,nigeria,au,2,3
Sb_NG_au_2.4,sb_ng_au_2.4,,sbovis,nigeria,au,2,4
Sb_NG_au_2.5,Sb_NG_au_2.5,,sbovis,nigeria,au,2,5
Sb_NG_au_2.6,Sb_NG_au_2.6,,sbovis,nigeria,au,2,6
Sb_NG_au_2.9,sb_ng_au_2.9,,sbovis,nigeria,au,2,9
Sb_NG_au_2.10,Sb_NG_au_2.10,,sbovis,nigeria,au,2,1
Sb_NG_au_2.7,sb_ng_au_2.7,,sbovis,nigeria,au,2,7
Sb_NG_au_2.1,Sb.ng.au.2.1F,,sbovis,nigeria,au,2,1
Sb_NG_au_2.15,Sb.ng.au.2.15F,,sbovis,nigeria,au,2,15
Sb_NG_au_2.8,Sb.ng.au.2.8R,,sbovis,nigeria,au,2,8
Sb_NG_be_1.1,sb_ng_be_1.1,,sbovis,nigeria,be,1,1
